ko	pathway_id	pathway_name
K01676	path:map00020;path:ko00020;path:map00620;path:ko00620;path:map00720;path:ko00720;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200	Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Pyruvate metabolism;Pyruvate metabolism;Carbon fixation pathways in prokaryotes;Carbon fixation pathways in prokaryotes;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism
K01895	path:map00010;path:ko00010;path:map00620;path:ko00620;path:map00630;path:ko00630;path:map00640;path:ko00640;path:map00680;path:ko00680;path:map00720;path:ko00720;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200	Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis;Pyruvate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Propanoate metabolism;Methane metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes;Carbon fixation pathways in prokaryotes;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism
K08738	path:map00190;path:ko00190;path:map01100;path:ko01100;path:map01524;path:ko01524;path:map02020;path:ko02020;path:map04115;path:ko04115;path:map04210;path:ko04210;path:map04214;path:ko04214;path:map04215;path:ko04215;path:map04932;path:ko04932;path:map05010;path:ko05010;path:map05012;path:ko05012;path:map05014;path:ko05014;path:map05016;path:ko05016;path:map05017;path:ko05017;path:map05020;path:ko05020;path:map05022;path:ko05022;path:map05130;path:ko05130;path:map05131;path:ko05131;path:map05132;path:ko05132;path:map05134;path:ko05134;path:map05145;path:ko05145;path:map05152;path:ko05152;path:map05160;path:ko05160;path:map05161;path:ko05161;path:map05162;path:ko05162;path:map05163;path:ko05163;path:map05164;path:ko05164;path:map05167;path:ko05167;path:map05168;path:ko05168;path:map05169;path:ko05169;path:map05170;path:ko05170;path:map05200;path:ko05200;path:map05210;path:ko05210;path:map05222;path:ko05222;path:map05416;path:ko05416;path:map05417;path:ko05417	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways;Platinum drug resistance;Platinum drug resistance;Two-component system;Two-component system;p53 signaling pathway;p53 signaling pathway;Apoptosis;Apoptosis;Apoptosis - fly;Apoptosis - fly;Apoptosis - multiple species;Apoptosis - multiple species;Non-alcoholic fatty liver disease;Non-alcoholic fatty liver disease;Alzheimer disease;Alzheimer disease;Parkinson disease;Parkinson disease;Amyotrophic lateral sclerosis;Amyotrophic lateral sclerosis;Huntington disease;Huntington disease;Spinocerebellar ataxia;Spinocerebellar ataxia;Prion disease;Prion disease;Pathways of neurodegeneration - multiple diseases;Pathways of neurodegeneration - multiple diseases;Pathogenic Escherichia coli infection;Pathogenic Escherichia coli infection;Shigellosis;Shigellosis;Salmonella infection;Salmonella infection;Legionellosis;Legionellosis;Toxoplasmosis;Toxoplasmosis;Tuberculosis;Tuberculosis;Hepatitis C;Hepatitis C;Hepatitis B;Hepatitis B;Measles;Measles;Human cytomegalovirus infection;Human cytomegalovirus infection;Influenza A;Influenza A;Kaposi sarcoma-associated herpesvirus infection;Kaposi sarcoma-associated herpesvirus infection;Herpes simplex virus 1 infection;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Epstein-Barr virus infection;Human immunodeficiency virus 1 infection;Human immunodeficiency virus 1 infection;Pathways in cancer;Pathways in cancer;Colorectal cancer;Colorectal cancer;Small cell lung cancer;Small cell lung cancer;Viral myocarditis;Viral myocarditis;Lipid and atherosclerosis;Lipid and atherosclerosis
K01687	path:map00290;path:ko00290;path:map00770;path:ko00770;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01210;path:ko01210;path:map01230;path:ko01230	Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K13292		
K01578	path:map00410;path:ko00410;path:map00640;path:ko00640;path:map01100;path:ko01100;path:map04146;path:ko04146;path:map04152;path:ko04152;path:map04936;path:ko04936	beta-Alanine metabolism;beta-Alanine metabolism;Propanoate metabolism;Propanoate metabolism;Metabolic pathways;Metabolic pathways;Peroxisome;Peroxisome;AMPK signaling pathway;AMPK signaling pathway;Alcoholic liver disease;Alcoholic liver disease
K18661	path:map00280;path:ko00280;path:map01100;path:ko01100	Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Metabolic pathways;Metabolic pathways
K13815	path:map02020;path:ko02020;path:map02024;path:ko02024	Two-component system;Two-component system;Quorum sensing;Quorum sensing
K01533		
K00404	path:map00190;path:ko00190;path:map01100;path:ko01100;path:map02020;path:ko02020	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways;Two-component system;Two-component system
K00405	path:map00190;path:ko00190;path:map01100;path:ko01100;path:map02020;path:ko02020	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways;Two-component system;Two-component system
K00406	path:map00190;path:ko00190;path:map01100;path:ko01100;path:map02020;path:ko02020	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways;Two-component system;Two-component system
K02495	path:map00860;path:ko00860;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01240;path:ko01240	Porphyrin metabolism;Porphyrin metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of cofactors
K09792		
K10215	path:map00627;path:ko00627;path:map01120;path:ko01120	Aminobenzoate degradation;Aminobenzoate degradation;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments
K02030		
K03502		
K03503		
K09384		
K05539		
K01847	path:map00280;path:ko00280;path:map00630;path:ko00630;path:map00640;path:ko00640;path:map00720;path:ko00720;path:map01100;path:ko01100;path:map01120;path:ko01120;path:map01200;path:ko01200	Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Carbon fixation pathways in prokaryotes;Metabolic pathways;Metabolic pathways;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism
K07588		
K01966	path:map00280;path:ko00280;path:map00630;path:ko00630;path:map00640;path:ko00640;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200	Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Propanoate metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism
K01965	path:map00280;path:ko00280;path:map00630;path:ko00630;path:map00640;path:ko00640;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200	Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Propanoate metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism
K01759	path:map00620;path:ko00620;path:map01100;path:ko01100	Pyruvate metabolism;Pyruvate metabolism;Metabolic pathways;Metabolic pathways
K03616		
K05973	path:map00650;path:ko00650;path:map01100;path:ko01100	Butanoate metabolism;Butanoate metabolism;Metabolic pathways;Metabolic pathways
K00832	path:map00270;path:ko00270;path:map00350;path:ko00350;path:map00360;path:ko00360;path:map00400;path:ko00400;path:map00401;path:ko00401;path:map00950;path:ko00950;path:map00960;path:ko00960;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01230;path:ko01230	Cysteine and methionine metabolism;Cysteine and methionine metabolism;Tyrosine metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Novobiocin biosynthesis;Isoquinoline alkaloid biosynthesis;Isoquinoline alkaloid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of amino acids
K00459	path:map00910;path:ko00910;path:map01100;path:ko01100	Nitrogen metabolism;Nitrogen metabolism;Metabolic pathways;Metabolic pathways
K13643		
K04487	path:map00730;path:ko00730;path:map01100;path:ko01100;path:map01240;path:ko01240;path:map04122;path:ko04122	Thiamine metabolism;Thiamine metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of cofactors;Biosynthesis of cofactors;Sulfur relay system;Sulfur relay system
K04488		
K13628		
K04082		
K04044		
K04755		
K02342	path:map03030;path:ko03030;path:map03430;path:ko03430;path:map03440;path:ko03440	DNA replication;DNA replication;Mismatch repair;Mismatch repair;Homologous recombination;Homologous recombination
K00254	path:map00240;path:ko00240;path:map01100;path:ko01100;path:map01240;path:ko01240	Pyrimidine metabolism;Pyrimidine metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of cofactors;Biosynthesis of cofactors
K01807	path:map00030;path:ko00030;path:map00710;path:ko00710;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01230;path:ko01230	Pentose phosphate pathway;Pentose phosphate pathway;Carbon fixation in photosynthetic organisms;Carbon fixation in photosynthetic organisms;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K00793	path:map00740;path:ko00740;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01240;path:ko01240	Riboflavin metabolism;Riboflavin metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of cofactors
K02674		
K02673		
K02671		
K07738		
K00600	path:map00260;path:ko00260;path:map00460;path:ko00460;path:map00630;path:ko00630;path:map00670;path:ko00670;path:map00680;path:ko00680;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01230;path:ko01230;path:map01240;path:ko01240;path:map01523;path:ko01523	Glycine, serine and threonine metabolism;Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;One carbon pool by folate;Methane metabolism;Methane metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids;Biosynthesis of cofactors;Biosynthesis of cofactors;Antifolate resistance;Antifolate resistance
K03269	path:map00540;path:ko00540;path:map01100;path:ko01100	Lipopolysaccharide biosynthesis;Lipopolysaccharide biosynthesis;Metabolic pathways;Metabolic pathways
K03768		
K01883	path:map00970;path:ko00970	Aminoacyl-tRNA biosynthesis;Aminoacyl-tRNA biosynthesis
K01247	path:map03410;path:ko03410	Base excision repair;Base excision repair
K01962	path:map00061;path:ko00061;path:map00620;path:ko00620;path:map00640;path:ko00640;path:map00720;path:ko00720;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01212;path:ko01212	Fatty acid biosynthesis;Fatty acid biosynthesis;Pyruvate metabolism;Pyruvate metabolism;Propanoate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Carbon fixation pathways in prokaryotes;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;Fatty acid metabolism;Fatty acid metabolism
K04075		
K01414		
K01491	path:map00670;path:ko00670;path:map00720;path:ko00720;path:map01100;path:ko01100;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01240;path:ko01240	One carbon pool by folate;One carbon pool by folate;Carbon fixation pathways in prokaryotes;Carbon fixation pathways in prokaryotes;Metabolic pathways;Metabolic pathways;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;Biosynthesis of cofactors;Biosynthesis of cofactors
K00163	path:map00010;path:ko00010;path:map00020;path:ko00020;path:map00620;path:ko00620;path:map00785;path:ko00785;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01210;path:ko01210	Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Pyruvate metabolism;Pyruvate metabolism;Lipoic acid metabolism;Lipoic acid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism
K00627	path:map00010;path:ko00010;path:map00020;path:ko00020;path:map00620;path:ko00620;path:map00785;path:ko00785;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01210;path:ko01210	Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Pyruvate metabolism;Pyruvate metabolism;Lipoic acid metabolism;Lipoic acid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism
K00382	path:map00010;path:ko00010;path:map00020;path:ko00020;path:map00260;path:ko00260;path:map00280;path:ko00280;path:map00310;path:ko00310;path:map00380;path:ko00380;path:map00620;path:ko00620;path:map00630;path:ko00630;path:map00640;path:ko00640;path:map00785;path:ko00785;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01210;path:ko01210;path:map01240;path:ko01240	Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Glycine, serine and threonine metabolism;Glycine, serine and threonine metabolism;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Lysine degradation;Tryptophan metabolism;Tryptophan metabolism;Pyruvate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Propanoate metabolism;Lipoic acid metabolism;Lipoic acid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;Biosynthesis of cofactors
K02004		
K02005		
K19784		
K00928	path:map00260;path:ko00260;path:map00261;path:ko00261;path:map00270;path:ko00270;path:map00300;path:ko00300;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01210;path:ko01210;path:map01230;path:ko01230	Glycine, serine and threonine metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Monobactam biosynthesis;Cysteine and methionine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Lysine biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of amino acids
K15012	path:map02020;path:ko02020	Two-component system;Two-component system
K15011	path:map02020;path:ko02020	Two-component system;Two-component system
K02300	path:map00190;path:ko00190;path:map01100;path:ko01100	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways
K02299	path:map00190;path:ko00190;path:map01100;path:ko01100	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways
K02298	path:map00190;path:ko00190;path:map01100;path:ko01100	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways
K02297	path:map00190;path:ko00190;path:map01100;path:ko01100	Oxidative phosphorylation;Oxidative phosphorylation;Metabolic pathways;Metabolic pathways
K09472	path:map00330;path:ko00330;path:map01100;path:ko01100	Arginine and proline metabolism;Arginine and proline metabolism;Metabolic pathways;Metabolic pathways
K09471	path:map00330;path:ko00330;path:map01100;path:ko01100	Arginine and proline metabolism;Arginine and proline metabolism;Metabolic pathways;Metabolic pathways
K08323	path:map00040;path:ko00040;path:map01100;path:ko01100	Pentose and glucuronate interconversions;Pentose and glucuronate interconversions;Metabolic pathways;Metabolic pathways
K26399		
K00098		
K00986		
K03863	path:map00627;path:ko00627;path:map01120;path:ko01120	Aminobenzoate degradation;Aminobenzoate degradation;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments
K03862	path:map00627;path:ko00627;path:map01120;path:ko01120	Aminobenzoate degradation;Aminobenzoate degradation;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments
K00128	path:map00010;path:ko00010;path:map00053;path:ko00053;path:map00071;path:ko00071;path:map00280;path:ko00280;path:map00310;path:ko00310;path:map00330;path:ko00330;path:map00340;path:ko00340;path:map00380;path:ko00380;path:map00410;path:ko00410;path:map00561;path:ko00561;path:map00620;path:ko00620;path:map00625;path:ko00625;path:map00770;path:ko00770;path:map00903;path:ko00903;path:map00981;path:ko00981;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01240;path:ko01240;path:map04936;path:ko04936	Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis;Ascorbate and aldarate metabolism;Ascorbate and aldarate metabolism;Fatty acid degradation;Fatty acid degradation;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Lysine degradation;Arginine and proline metabolism;Arginine and proline metabolism;Histidine metabolism;Histidine metabolism;Tryptophan metabolism;Tryptophan metabolism;beta-Alanine metabolism;beta-Alanine metabolism;Glycerolipid metabolism;Glycerolipid metabolism;Pyruvate metabolism;Pyruvate metabolism;Chloroalkane and chloroalkene degradation;Chloroalkane and chloroalkene degradation;Pantothenate and CoA biosynthesis;Pantothenate and CoA biosynthesis;Limonene degradation;Limonene degradation;Insect hormone biosynthesis;Insect hormone biosynthesis;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of cofactors;Alcoholic liver disease;Alcoholic liver disease
K03919		
K01908	path:map00640;path:ko00640;path:map01100;path:ko01100	Propanoate metabolism;Propanoate metabolism;Metabolic pathways;Metabolic pathways
K00164	path:map00020;path:ko00020;path:map00785;path:ko00785;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01210;path:ko01210	Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Lipoic acid metabolism;Lipoic acid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism
K00658	path:map00020;path:ko00020;path:map00310;path:ko00310;path:map00380;path:ko00380;path:map00785;path:ko00785;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01120;path:ko01120;path:map01200;path:ko01200;path:map01210;path:ko01210	Citrate cycle (TCA cycle);Citrate cycle (TCA cycle);Lysine degradation;Lysine degradation;Tryptophan metabolism;Tryptophan metabolism;Lipoic acid metabolism;Lipoic acid metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Microbial metabolism in diverse environments;Carbon metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;2-Oxocarboxylic acid metabolism
K06916		
K20074		
K03722		
K05807		
K06024		
K06178		
K00940	path:map00230;path:ko00230;path:map00240;path:ko00240;path:map00983;path:ko00983;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01232;path:ko01232;path:map01240;path:ko01240;path:map04016;path:ko04016	Purine metabolism;Purine metabolism;Pyrimidine metabolism;Pyrimidine metabolism;Drug metabolism - other enzymes;Drug metabolism - other enzymes;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Nucleotide metabolism;Nucleotide metabolism;Biosynthesis of cofactors;Biosynthesis of cofactors;MAPK signaling pathway - plant;MAPK signaling pathway - plant
K06941		
K02656		
K01892	path:map00970;path:ko00970	Aminoacyl-tRNA biosynthesis;Aminoacyl-tRNA biosynthesis
K03977		
K03666	path:map02024;path:ko02024;path:map03018;path:ko03018;path:map05111;path:ko05111	Quorum sensing;Quorum sensing;RNA degradation;RNA degradation;Biofilm formation - Vibrio cholerae;Biofilm formation - Vibrio cholerae
K04088		
K04087		
K09937		
K02502	path:map00340;path:ko00340;path:map01100;path:ko01100;path:map01110;path:ko01110;path:map01230;path:ko01230	Histidine metabolism;Histidine metabolism;Metabolic pathways;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of amino acids
K01939	path:map00230;path:ko00230;path:map00250;path:ko00250;path:map01100;path:ko01100;path:map01232;path:ko01232;path:map01240;path:ko01240	Purine metabolism;Purine metabolism;Alanine, aspartate and glutamate metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Metabolic pathways;Nucleotide metabolism;Nucleotide metabolism;Biosynthesis of cofactors;Biosynthesis of cofactors
